Fe,Co,Mn,Al,Ni,B,Hf,Si,Cu,P,Mo,Cr,La,Ti,Sn,V,Ga,Nb,Zr,C,Gd,Y,Ta,DO3,BCC,FCC,HCP,Orthorhombic,hexagonal,Tetragonal,Primitive Cubic,Ms,Hc,Ms_div30,Hc_log
10.52631578947368,36.84210526315789,0.0,0.0,31.57894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,85.0,2228.169203286535,2.8333333333333335,7.709384240458436
10.52631578947368,36.84210526315789,0.0,0.0,31.57894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.05263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,79.0,2148.591731740587,2.6333333333333333,7.673033210876219
26.31578947368421,26.31578947368421,0.0,0.0,26.31578947368421,0.0,0.0,0.0,21.05263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,78.6,362.0,2.6199999999999997,5.8944028342648505
26.17801047120419,26.17801047120419,0.0,0.0,26.17801047120419,0.0,0.0,0.0,20.94240837696335,0.0,0.0,0.0,0.0,0.0,0.5235602094240838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,80.6,404.5,2.6866666666666665,6.005120873555468
26.04166666666667,26.04166666666667,0.0,0.0,26.04166666666667,0.0,0.0,0.0,20.83333333333334,0.0,0.0,0.0,0.0,0.0,1.041666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,82.2,529.8,2.74,6.274385302458052
25.90673575129534,25.90673575129534,0.0,0.0,25.90673575129534,0.0,0.0,0.0,20.72538860103627,0.0,0.0,0.0,0.0,0.0,1.55440414507772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,84.4,580.7,2.8133333333333335,6.365954850916716
25.77319587628866,25.77319587628866,0.0,0.0,25.77319587628866,0.0,0.0,0.0,20.61855670103093,0.0,0.0,0.0,0.0,0.0,2.061855670103093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,86.1,685.0,2.8699999999999997,6.530877627725885
25.64102564102565,25.64102564102565,0.0,0.0,25.64102564102565,0.0,0.0,0.0,20.51282051282051,0.0,0.0,0.0,0.0,0.0,2.564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,88.8,1020.0,2.96,6.928537818164665
20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,141.1,25870.635999587583,4.703333333333333,10.160902512437906
18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,84.4,8029.36687898612,2.8133333333333335,8.990985494438354
18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,98.33,7209.718922062859,3.2776666666666667,8.883323937106004
18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,97.5,10170.000863572111,3.25,9.227295897530922
18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,99.88,7488.240072473676,3.329333333333333,8.921222612415184
18.0,18.0,18.0,18.0,18.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,51.2,6254.789263511487,1.7066666666666668,8.741262596157696
18.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,97.83,9290.66980298939,3.261,9.136873557635711
21.74,21.74,21.74,17.39,17.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,78.6,362.0,2.6199999999999997,5.8944028342648505
21.64567086582683,21.64567086582683,21.64567086582683,17.31653669266147,17.31653669266147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4299140171965606,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,79.0,380.5,2.6333333333333333,5.9441108507245115
21.55215521552156,21.55215521552156,21.55215521552156,17.24172417241724,17.24172417241724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8600860086008602,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,79.7,383.4,2.6566666666666667,5.951683677096137
21.45785421457854,21.45785421457854,21.45785421457854,17.16828317168283,17.16828317168283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28987101289871,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,81.0,464.1,2.7,6.142252436230051
21.37,21.37,21.37,17.09,17.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,82.8,685.8,2.76,6.532043129023321
22.22222222222222,22.22222222222222,0.0,22.22222222222222,11.11111111111111,0.0,0.0,0.0,22.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,89.21,580.915542285418,2.9736666666666665,6.366325320852963
20.83333333333334,20.83333333333334,0.0,20.83333333333334,16.66666666666667,0.0,0.0,0.0,20.83333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,83.92,300.0070677282227,2.7973333333333334,5.707133745297866
20.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,73.73,462.345109681956,2.457666666666667,6.138472153713393
18.18181818181818,18.18181818181818,0.0,18.18181818181818,27.27272727272727,0.0,0.0,0.0,18.18181818181818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,63.58,1090.211360179483,2.119333333333333,6.995043697756674
16.66666666666666,16.66666666666666,0.0,16.66666666666666,33.33333333333333,0.0,0.0,0.0,16.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,57.43,884.9014835909381,1.9143333333333332,6.78660575208747
14.28571428571428,14.28571428571428,0.0,14.28571428571428,42.85714285714285,0.0,0.0,0.0,14.28571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,54.68,1974.3170690549616,1.8226666666666667,7.588484205743499
31.25,31.25,0.0,3.125,31.25,0.0,0.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,143.37,86.07,4.779,4.466712392840524
27.77777777777778,27.77777777777778,0.0,8.333333333333334,27.77777777777778,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,113.84,131.9,3.7946666666666666,4.8895969657192
25.0,25.0,0.0,12.5,25.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,107.07,78.85,3.569,4.380149874661021
22.72727272727273,22.72727272727273,0.0,15.90909090909091,22.72727272727273,0.0,0.0,15.90909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,78.27,380.7,2.609,5.944634959751184
20.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,59.039,149.1,1.9679666666666666,5.011301738639416
20.0,20.0,20.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,1.0817,132.62,0.03605666666666667,4.894999950497331
20.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,6.1448,37.915,0.20482666666666666,3.6613797804113513
