Fe,Si,B,Nb,Zr,Cu,Ni,C,P,Co,Gd,Mo,Al,Y,Mn,Cr,DO3,BCC,FCC,HCP,Orthorhombic,hexagonal,Tetragonal,Ms,Hc
22.6,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,73.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,183.0,2275.9165
48.2,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,187.7,3310.424
5.7,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,84.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,200.9,4360.847
37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,193.2,3167.1845
94.2,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,204.01925,1351.21480915
73.63,12.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.32,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,156.66419,1738.4596143
83.95,16.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,178.2091,1247.8102141
70.7,15.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,147.18589,2192.32670245
72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,102.18,595.10441825
50.22,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,11.34,0.0,0.0,0.0,0.0,0.0,19.44,0.0,1.0,0.0,0.0,0.0,0.0,1.0,78.9548898355734,43160.0
51.86,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,11.62,0.0,0.0,0.0,0.0,0.0,20.04,0.0,1.0,0.0,0.0,0.0,0.0,1.0,78.02035258908421,38050.0
53.49,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,0.0,20.64,0.0,1.0,0.0,0.0,0.0,0.0,1.0,126.71528083512091,20820.0
22.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44444444444444,0.0,0.0,16.666666666666664,0.0,16.666666666666664,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,179.66572692215837,88.60822
21.978021978021978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.956043956043956,0.0,0.0,16.483516483516482,0.0,16.483516483516482,1.098901098901099,0.0,1.0,0.0,0.0,0.0,0.0,0.0,177.4310043975969,165.93896
21.85792349726776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.71584699453552,0.0,0.0,16.39344262295082,0.0,16.39344262295082,1.6393442622950818,0.0,1.0,0.0,0.0,0.0,0.0,0.0,173.9849619864449,199.20637
21.73913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.47826086956522,0.0,0.0,16.304347826086957,0.0,16.304347826086957,2.173913043478261,0.0,1.0,0.0,0.0,0.0,0.0,0.0,168.23671693235542,87.48865
21.62162162162162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.24324324324324,0.0,0.0,16.216216216216218,0.0,16.216216216216218,2.7027027027027026,0.0,1.0,0.0,0.0,0.0,0.0,0.0,163.8298563443862,71.33476
21.052631578947366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.10526315789473,0.0,0.0,15.789473684210526,0.0,15.789473684210526,5.263157894736842,0.0,1.0,0.0,0.0,0.0,0.0,0.0,154.7026055668713,91.5671
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,15.0,0.0,15.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,152.2043884392802,78.3721
41.17647058823529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.17647058823529,0.0,0.0,17.647058823529413,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,171.34494,5360.739083275
35.294117647058826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.294117647058826,0.0,0.0,17.647058823529413,0.0,0.0,11.76470588235294,1.0,0.0,0.0,0.0,0.0,0.0,0.0,129.43258,5246.760230025
